drugcentral_id,name,smiles,inchikey,cas_rn,source,source_version,date_pulled
2104,perflutren,FC(F)(F)C(F)(F)C(F)(F)F,QYSGYZVSCZSLHT-UHFFFAOYSA-N,76-19-7,DrugCentral,FDA_Approved.csv (current) + structures.smiles.tsv (2021_09_01),2026-07-29
1834,monobenzone,OC1=CC=C(OCC2=CC=CC=C2)C=C1,VYQNWZOUAUKGHI-UHFFFAOYSA-N,103-16-2,DrugCentral,FDA_Approved.csv (current) + structures.smiles.tsv (2021_09_01),2026-07-29
2684,tobramycin,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,NLVFBUXFDBBNBW-PBSUHMDJSA-N,32986-56-4,DrugCentral,FDA_Approved.csv (current) + structures.smiles.tsv (2021_09_01),2026-07-29
3051,butamben,CCCCOC(=O)C1=CC=C(N)C=C1,IUWVALYLNVXWKX-UHFFFAOYSA-N,94-25-7,DrugCentral,FDA_Approved.csv (current) + structures.smiles.tsv (2021_09_01),2026-07-29
3103,citrulline,N[C@@H](CCCNC(N)=O)C(O)=O,RHGKLRLOHDJJDR-BYPYZUCNSA-N,372-75-8,DrugCentral,FDA_Approved.csv (current) + structures.smiles.tsv (2021_09_01),2026-07-29
3347,methionine,CSCC[C@H](N)C(O)=O,FFEARJCKVFRZRR-BYPYZUCNSA-N,63-68-3,DrugCentral,FDA_Approved.csv (current) + structures.smiles.tsv (2021_09_01),2026-07-29
3524,resorcinol,OC1=CC(O)=CC=C1,GHMLBKRAJCXXBS-UHFFFAOYSA-N,108-46-3,DrugCentral,FDA_Approved.csv (current) + structures.smiles.tsv (2021_09_01),2026-07-29
3578,tafenoquine,COC1=NC2=C(NC(C)CCCN)C=C(OC)C(OC3=CC(=CC=C3)C(F)(F)F)=C2C(C)=C1,LBHLFPGPEGDCJG-UHFFFAOYSA-N,106635-80-7,DrugCentral,FDA_Approved.csv (current) + structures.smiles.tsv (2021_09_01),2026-07-29
3592,tetrofosmin,CCOCCP(CCOCC)CCP(CCOCC)CCOCC,QCWJONLQSHEGEJ-UHFFFAOYSA-N,127502-06-1,DrugCentral,FDA_Approved.csv (current) + structures.smiles.tsv (2021_09_01),2026-07-29
4140,nadide,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,BAWFJGJZGIEFAR-NNYOXOHSSA-N,53-84-9,DrugCentral,FDA_Approved.csv (current) + structures.smiles.tsv (2021_09_01),2026-07-29
