drugcentral_id,name,best_affinity_kcal_mol,output_pdbqt
4937,alectinib,-12.1,runs/full-1E92-PTR1-screen/docked/4937_out.pdbqt
5407,risdiplam,-11.7,runs/full-1E92-PTR1-screen/docked/5407_out.pdbqt
4399,eltrombopag,-11.6,runs/full-1E92-PTR1-screen/docked/4399_out.pdbqt
732,conivaptan,-11.6,runs/full-1E92-PTR1-screen/docked/732_out.pdbqt
5345,entrectinib,-11.5,runs/full-1E92-PTR1-screen/docked/5345_out.pdbqt
888,dihydroergotamine,-11.5,runs/full-1E92-PTR1-screen/docked/888_out.pdbqt
361,bexarotene,-11.4,runs/full-1E92-PTR1-screen/docked/361_out.pdbqt
5392,capmatinib,-11.4,runs/full-1E92-PTR1-screen/docked/5392_out.pdbqt
4110,tolvaptan,-11.3,runs/full-1E92-PTR1-screen/docked/4110_out.pdbqt
4907,olaparib,-11.3,runs/full-1E92-PTR1-screen/docked/4907_out.pdbqt
5203,rucaparib,-11.3,runs/full-1E92-PTR1-screen/docked/5203_out.pdbqt
2389,risperidone,-11.2,runs/full-1E92-PTR1-screen/docked/2389_out.pdbqt
2553,tadalafil,-11.2,runs/full-1E92-PTR1-screen/docked/2553_out.pdbqt
4721,lomitapide,-11.2,runs/full-1E92-PTR1-screen/docked/4721_out.pdbqt
5222,niraparib,-11.2,runs/full-1E92-PTR1-screen/docked/5222_out.pdbqt
5396,flortaucipir F 18,-11.2,runs/full-1E92-PTR1-screen/docked/5396_out.pdbqt
5424,tepotinib,-11.2,runs/full-1E92-PTR1-screen/docked/5424_out.pdbqt
1932,nilotinib,-11.1,runs/full-1E92-PTR1-screen/docked/1932_out.pdbqt
2172,pimozide,-11.1,runs/full-1E92-PTR1-screen/docked/2172_out.pdbqt
1043,ergotamine,-11.0,runs/full-1E92-PTR1-screen/docked/1043_out.pdbqt
1398,hydroxystilbamidine,-11.0,runs/full-1E92-PTR1-screen/docked/1398_out.pdbqt
3188,estrone,-11.0,runs/full-1E92-PTR1-screen/docked/3188_out.pdbqt
4137,paliperidone,-10.9,runs/full-1E92-PTR1-screen/docked/4137_out.pdbqt
4148,epicriptine,-10.9,runs/full-1E92-PTR1-screen/docked/4148_out.pdbqt
5412,pralsetinib,-10.9,runs/full-1E92-PTR1-screen/docked/5412_out.pdbqt
5441,umbralisib,-10.9,runs/full-1E92-PTR1-screen/docked/5441_out.pdbqt
