drugcentral_id,name,best_affinity_kcal_mol,output_pdbqt
881,digitoxin,-13.0,runs/full-3L4D-CYP51-screen/docked/881_out.pdbqt
973,dutasteride,-12.6,runs/full-3L4D-CYP51-screen/docked/973_out.pdbqt
1482,irinotecan,-12.5,runs/full-3L4D-CYP51-screen/docked/1482_out.pdbqt
5381,rimegepant,-12.2,runs/full-3L4D-CYP51-screen/docked/5381_out.pdbqt
5311,vibegron,-12.1,runs/full-3L4D-CYP51-screen/docked/5311_out.pdbqt
732,conivaptan,-12.1,runs/full-3L4D-CYP51-screen/docked/732_out.pdbqt
1932,nilotinib,-12.0,runs/full-3L4D-CYP51-screen/docked/1932_out.pdbqt
5361,ubrogepant,-12.0,runs/full-3L4D-CYP51-screen/docked/5361_out.pdbqt
5424,tepotinib,-12.0,runs/full-3L4D-CYP51-screen/docked/5424_out.pdbqt
4399,eltrombopag,-11.9,runs/full-3L4D-CYP51-screen/docked/4399_out.pdbqt
4899,ledipasvir,-11.9,runs/full-3L4D-CYP51-screen/docked/4899_out.pdbqt
5303,revefenacin,-11.9,runs/full-3L4D-CYP51-screen/docked/5303_out.pdbqt
2172,pimozide,-11.8,runs/full-3L4D-CYP51-screen/docked/2172_out.pdbqt
4110,tolvaptan,-11.8,runs/full-3L4D-CYP51-screen/docked/4110_out.pdbqt
5412,pralsetinib,-11.8,runs/full-3L4D-CYP51-screen/docked/5412_out.pdbqt
784,darifenacin,-11.8,runs/full-3L4D-CYP51-screen/docked/784_out.pdbqt
4716,ponatinib,-11.7,runs/full-3L4D-CYP51-screen/docked/4716_out.pdbqt
5174,lifitegrast,-11.7,runs/full-3L4D-CYP51-screen/docked/5174_out.pdbqt
878,difenoxin,-11.7,runs/full-3L4D-CYP51-screen/docked/878_out.pdbqt
5008,sonidegib,-11.6,runs/full-3L4D-CYP51-screen/docked/5008_out.pdbqt
5010,lumacaftor,-11.6,runs/full-3L4D-CYP51-screen/docked/5010_out.pdbqt
5441,umbralisib,-11.6,runs/full-3L4D-CYP51-screen/docked/5441_out.pdbqt
1836,montelukast,-11.4,runs/full-3L4D-CYP51-screen/docked/1836_out.pdbqt
1882,nandrolone phenpropionate,-11.4,runs/full-3L4D-CYP51-screen/docked/1882_out.pdbqt
5269,netarsudil,-11.4,runs/full-3L4D-CYP51-screen/docked/5269_out.pdbqt
5285,avatrombopag,-11.4,runs/full-3L4D-CYP51-screen/docked/5285_out.pdbqt
813,deslanoside,-11.4,runs/full-3L4D-CYP51-screen/docked/813_out.pdbqt
2600,terfenadine,-11.3,runs/full-3L4D-CYP51-screen/docked/2600_out.pdbqt
4168,lurasidone,-11.3,runs/full-3L4D-CYP51-screen/docked/4168_out.pdbqt
4898,netupitant,-11.3,runs/full-3L4D-CYP51-screen/docked/4898_out.pdbqt
5220,naldemedine,-11.3,runs/full-3L4D-CYP51-screen/docked/5220_out.pdbqt
5231,midostaurin,-11.3,runs/full-3L4D-CYP51-screen/docked/5231_out.pdbqt
5407,risdiplam,-11.3,runs/full-3L4D-CYP51-screen/docked/5407_out.pdbqt
1170,fexofenadine,-11.2,runs/full-3L4D-CYP51-screen/docked/1170_out.pdbqt
1365,hexafluronium,-11.2,runs/full-3L4D-CYP51-screen/docked/1365_out.pdbqt
1974,novobiocin,-11.2,runs/full-3L4D-CYP51-screen/docked/1974_out.pdbqt
4907,olaparib,-11.2,runs/full-3L4D-CYP51-screen/docked/4907_out.pdbqt
5133,venetoclax,-11.2,runs/full-3L4D-CYP51-screen/docked/5133_out.pdbqt
5274,bictegravir,-11.2,runs/full-3L4D-CYP51-screen/docked/5274_out.pdbqt
968,drospirenone,-11.2,runs/full-3L4D-CYP51-screen/docked/968_out.pdbqt
1390,hydrocortisone cypionate,-11.1,runs/full-3L4D-CYP51-screen/docked/1390_out.pdbqt
1513,itraconazole,-11.1,runs/full-3L4D-CYP51-screen/docked/1513_out.pdbqt
2168,pimecrolimus,-11.1,runs/full-3L4D-CYP51-screen/docked/2168_out.pdbqt
5233,brigatinib,-11.1,runs/full-3L4D-CYP51-screen/docked/5233_out.pdbqt
5283,fosnetupitant,-11.1,runs/full-3L4D-CYP51-screen/docked/5283_out.pdbqt
